node_id,x_coord,y_coord
500,1522117.5292038962,1001300.3338181569
501,1521305.3247532654,1001059.1635653425
502,1521696.8414363023,1001054.0840237204
503,1521298.8365873222,1001072.8049780519
504,1521297.9783712795,1001322.3430963332
505,1521291.5016206438,1001052.9300438813
506,1521276.6852192446,1000654.700215629
507,1521285.3970186666,1001066.3664711921
508,1520470.385477465,1001072.3623393873
509,1520456.5827313913,1001059.0374020257
510,1520440.7799863003,1000492.0936371925
511,1520465.8094231416,1001078.0219114801
512,1520520.406030494,1001342.4989010933
513,1520470.3211073007,1001063.6125761629
514,1521095.3297431709,1001059.0145193108
515,1521285.3326485022,1001057.6167079677
516,1520450.373296619,1001074.2112493379
517,1519905.8119172198,1001075.5871476989
518,1519715.609232781,1001076.0677171473
519,1519695.5856287407,1001074.3132258217
520,1518964.8835401828,1001072.138743183
521,1519701.8964116322,1001060.9151076805
522,1519690.7009925782,1000502.0680956508
523,1519715.5871249477,1001067.3177450763
524,1520450.3511887856,1001065.4612772668
525,1519711.013633512,1001080.7531840107
526,1519716.006737945,1001377.2529099655
527,1519719.211877951,1001567.5800193194
528,1519704.1939825932,1001583.0352571715
529,1519015.716575317,1001591.2030040085
530,1519708.713366488,1001567.7568159893
531,1519703.720262055,1001271.2570900345
532,1519700.515122049,1001080.9299806806
533,1519717.5881814153,1001587.6818837569
534,1519716.5427545102,1001832.0150668266
535,1520515.0838818802,1001574.8051373119
536,1520497.2394407736,1001812.2903583009
537,1520509.1592217626,1001554.4658747591
538,1520515.1872407435,1001362.8849818844
539,1520502.4304690438,1001569.9843381601
540,1519724.2157777993,1001582.7522489364
541,1521300.7275867392,1001529.5377949795
542,1521291.4440192624,1001342.4922064034
543,1521294.891068475,1001544.9174525369
544,1520522.5049465457,1001569.5002334501
545,1521308.1868333458,1001549.3632003219
546,1521307.5321304807,1001753.0113036752
547,1521314.431433668,1001761.1465730038
548,1521670.689548382,1001818.9437671462
549,1521300.5321666542,1001752.988799678
550,1521301.1868695193,1001549.3406963247
551,1521309.5991371912,1001772.808779879
552,1521311.7516505865,1001833.8527179642
553,1521318.4553411033,1002023.965202175
554,1521323.4601069535,1002028.7061528595
555,1521702.4226711637,1002021.5507183508
556,1521317.0063407153,1002044.1629633872
557,1521315.554554916,1002310.019261583
558,1521309.7107758578,1002024.2735504634
559,1521300.8545719457,1001773.1171281674
560,1521303.801353279,1002039.8283465661
561,1520523.7000351693,1002074.1405114263
562,1520509.1657733202,1002059.657909755
563,1520490.3370986548,1001832.2547041121
564,1520521.2862674426,1002076.4971627378
565,1520837.3631507668,1002666.5323964258
566,1520523.161748646,1002061.9023437685
567,1521113.2329077008,1002035.9485113384
568,1521303.2630667556,1002027.5901789083
569,1520503.745644746,1002076.7012606184
570,1519922.6543287162,1002098.2793658841
571,1519732.6188698292,1002105.3360969399
572,1519709.5428185847,1001831.9851162431
573,1519710.5882454899,1001587.6519331734
574,1519720.3599478072,1001851.7381296089
575,1519722.0441582394,1001897.9005285527
576,1519728.9967436716,1002088.4634274966
577,1519732.1642945758,1002093.0945340764
578,1520503.2910694927,1002064.4596977549
579,1519718.5037250626,1002088.8462596675
580,1519709.8669291981,1001852.1209617798
581,1519712.4110832077,1002104.0469912519
582,1519293.482357602,1002107.6156278051
583,1518984.7988752697,1002109.9664939953
584,1518736.660870394,1002107.4789784449
585,1518999.903947032,1002114.918001252
586,1518994.564132109,1002387.2440475804
587,1518990.8340350285,1002577.4758449462
588,1519004.8076229014,1002099.4851935146
589,1519273.3952950328,1002097.2831593542
590,1518990.5151509505,1002597.4350487097
591,1518988.3780960273,1002770.5342389198
592,1518986.0310489372,1002960.6425727331
593,1518980.336052968,1002577.2699987481
594,1518985.675867891,1002304.9439524197
595,1518989.4059649715,1002114.7121550539
596,1518995.389,1002583.871
597,1519148.068,1002583.871
598,1519168.5575452743,1002585.8812215135
599,1519308.8368945045,1002613.674250717
600,1519148.068,1002594.371
601,1518995.389,1002594.371
602,1521311.699386532,1002549.1553306032
603,1521216.7770844016,1002552.0514136511
604,1521317.666080466,1002535.5098179671
605,1521308.928246742,1002330.1397402296
606,1521325.39334914,1002555.2398368677
607,1521332.5563513918,1002788.4532639203
608,1521331.4246063223,1002539.8018940499
609,1521708.496759567,1002528.3899114034
610,1521323.1595485092,1003013.0297842378
611,1520685.3020408289,1003044.1312419584
612,1520495.3378161674,1003053.3937562826
613,1521329.22355986,1002997.3595560045
614,1521326.0344391325,1002808.6137017407
615,1521342.8896608446,1003003.7923238481
616,1521713.7876653029,1003003.5446777123
617,1521338.3716434853,1003017.17503196
618,1521345.0358876982,1003305.5373359427
619,1521349.432553598,1003495.7813708492
620,1519746.8232732445,1003030.1329341102
621,1520284.5660522582,1003051.1201491511
622,1520474.8990227184,1003043.7764508304
623,1519725.9685370307,1003038.8115362478
624,1519179.6136656427,1002992.6540106612
625,1518990.180543595,1002976.6501921986
626,1519739.9871193822,1003044.3820498778
627,1519745.3424388925,1003521.0573119507
628,1519732.101213086,1003536.6155455835
629,1518991.8778415553,1003556.7185843628
630,1519738.3428806178,1003521.1359501223
631,1519732.9875611076,1003044.4606880493
632,1519745.5694990726,1003541.0551865358
633,1519750.1970402128,1003944.3725028633
634,1520479.8855102516,1003525.1895761853
635,1519752.0332246986,1003536.1942238992
636,1520493.463633553,1003529.7320579061
637,1520494.6824807052,1003606.3425885971
